01,North Atlantic slope basins
02,South Atlantic slope basins
03,Ohio, Cumberland, and Tennessee River basins
04,St. Lawrence River basin
05,Hudson Bay and Upper Mississippi River basin
06,Missouri River basin
07,Lower Mississippi River basin
08,Western Gulf of Mexico basins
09,Colorado River basin
10,The Great Basin
11,Pacific slope basins in California
12,Pacific slope basins in Washington and upper Columbia River basin
13,Snake River basin
14,Pacific slope basins in Oregon and lower Columbia River basin